Unnamed: 0,题名,作者,来源,发表时间,数据库,被引,下载,操作
11,"('中药治疗糖尿病视网膜病变的疗效及机制研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Q6Hu63LzXrZ4-S7Ebk88Zw5rcxO9jwe8gGOATt00v06-1aawKcqVMTNZtKyNUbUNIrvzLbDRYjIxWNWfhHdS9D-dqbF6ymZ36fiWmJbMHffQBoua1IJBtci7GrEU-lF0kV8y9V94mJiA==&uniplatform=NZKPT&language=CHS')",桑智慧;李慧红;周丽娟,中国药房,2023-06-28,期刊,,609,下载  HTML阅读
12,"('糖尿病视网膜病变炎症相关因子的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4S8QPAaCA778r7q7UyJUHhSLG07eiVmEQWNQJ41UCKXAp9oHFo5spq6Js2B7QtO0rCpRAPU5PeVnmEug1mspl91qyMvJ88ki-JxfbfmazbnU5ZZMXzWAw0LnZm-trM9npJxHrhgZBeX8w==&uniplatform=NZKPT&language=CHS')",高钰寒;董志军,承德医学院学报,2023-06-13,期刊,,319,下载  HTML阅读
13,"('血液透析对糖尿病视网膜病变影响的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4S8QPAaCA778r7q7UyJUHhSLG07eiVmEQWCd4qrimtjUdlQ671XwMCnU9KCU84hqgspT00f62aCyFGoBc3EAN1gBbzuSyZmWba5jkacWr1Jx0dAJK-8AYQRKWCMiXHlSYWZQVh14UNDLA==&uniplatform=NZKPT&language=CHS')",邓望月;胡大军;鲁碧玉;董佩,中国血液净化,2023-02-12,期刊,2.0,242,下载  HTML阅读
14,"('糖尿病视网膜病变发病机制研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Ri4jRJcFs3ki4J5-vSDh2Zf4SSACCr6hjTg1uyU3JCUeuMdmscCSNK_4ZUIerFqIcmFMtzYzoWaw9mnLL2nNZjl6ZGRhSK3Y2II34dQOs_kzIw6xlLqyOuxS8mjFHgnyMYyg-Xou0-fA==&uniplatform=NZKPT&language=CHS')",杜长虹;刘银萍,沈阳医学院学报,2023-01-15,期刊,10.0,1352,下载  HTML阅读
15,"('Toll样受体4信号通路在糖尿病视网膜病变中的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Q0IT13kiO7WjRmJ83TyDoh-VpE43uw5EDSV4CC488OPkbJJUyLSiPKnkZdqUTuwMQhZqQUC5QoLydAp-wNwlHHzaV4yaCTHH0R5EgTvyQEa7XuBCaZlIth0V5SvAi6tfq8qScgAQd5Yw==&uniplatform=NZKPT&language=CHS')",李晓洁;许泽鹏;黄玉婷;郑香悦;俞晓艺,中国中医眼科杂志,2023-01-15,期刊,4.0,481,下载  HTML阅读
16,"('中医药治疗糖尿病视网膜病变的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Q0IT13kiO7WjRmJ83TyDoh-VpE43uw5EDyyYkRzAZli8pF-QGlNp97J9rtlhTtFhHTBg6feT14GzgoUXtZ3bKujfPzbAwlNMLWYQuLEnZPRSAXcC6y24jmeYQ9RWv3uq68jJq_ra9Rrw==&uniplatform=NZKPT&language=CHS')",刘梦伟;鲍新颖;王烁;王元松;王晓蕴;张忠勇,中医临床研究,2022-12-25,期刊,2.0,617,下载  HTML阅读
17,"('表观遗传修饰参与糖尿病视网膜病变代谢记忆的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4S_ljoooBMGcuyBFE4Lz_r5OZLq5lDVZMTfQwaenwTfN0mkzvOLew3A8eNhDSqXN0nHiozTeRxBQzlu9EP-pnvnKKhFi0z9_nUSteB7A3GQfkvg6rJGDg2FXpG3qrxssuC_SBnuEFpWcw==&uniplatform=NZKPT&language=CHS')",骞元婕;魏雁涛,国际眼科杂志,2022-10-08,期刊,3.0,569,下载  HTML阅读
18,"('糖尿病视网膜病变的流行病学、病因学与发病机制研究现状  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Thsoqwj5kvfGIh2QkVKDPkn_xwilUvAEZc1BWlBFied2ElT2xjzyjHJrxrHDmix-Wir8xJcI8R_TbOxF854Tel_fe7fq_BTait-R3VV5BIhlf_Ye7OdM5dD7EFqM7oAORrqD_-AGrP-Q==&uniplatform=NZKPT&language=CHS')",万文萃;龙洋,眼科新进展,2022-09-05,期刊,31.0,2779,下载  HTML阅读
19,"('组学技术在糖尿病视网膜病变中的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Thsoqwj5kvfGIh2QkVKDPkn_xwilUvAEbLeG465LlIEz6VojCsWtMRa23tCHZZxkLDrJUh045p21-SaA8MXiqcSsK8qVxkfCPaFm0JRvAzt6hHNhA0J2zWNhP_Vi2NckKMO5ndf4029A==&uniplatform=NZKPT&language=CHS')",周琦;熊鑫;吕红彬,国际眼科杂志,2022-08-08,期刊,1.0,711,下载  HTML阅读
20,"('白脂素在2型糖尿病及其并发心脏、肾脏、视网膜病变中的作用研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4TPVTtGQgwkN8sIGlX9blfl3AZ2A6IiENGQXEcb-TjMOW1TupGMOV1MIr9WZ7271w780-Zva8JZm_odM27HqorrXoAiR6lZXLOFbB7mMYqZ47SYFX2qiWbphmmwIgPnygEzWT6dDcRg9Q==&uniplatform=NZKPT&language=CHS')",甘甜;郭志新;陈晓红,新乡医学院学报,2022-08-05,期刊,3.0,258,下载  HTML阅读
21,"('糖尿病视网膜病变的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QV7rLcjoEtIiC7I1YBpnK6Fa9N0NObqDoQmYgErV-bCnKKA116UOalQ8XcaGKfIrnuMPdYtHlDaLS9Sl4WC_lQdYzoWN4Wq0ovKgT-jvyAe-ON562anhv8PZs1y3DbB0-P8qBtZWEZTw==&uniplatform=NZKPT&language=CHS')",杨倩;王丽萍;李秀;刘畅,重庆医学,2022-04-24 16:18,期刊,4.0,1682,下载  HTML阅读
22,"('中医防治糖尿病视网膜病变的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RkzIiTlxhHDBBDvRS2MykRv0oSECR3SffSzpVoASlsAThdv2wejGzFWkyK0i3AfIB4CCV3sSZSGXitk999Z20P6lEFdbs1fnHVIoM9NYDV5KUnidmWNJZaKvnmHCSIdnbGSqV_mQPZaw==&uniplatform=NZKPT&language=CHS')",冉德聪;张忠勇;王晓蕴;王元松,河北中医药学报,2022-02-28,期刊,17.0,1469,下载  HTML阅读
23,"('糖尿病性视网膜病变脂质代谢的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RkzIiTlxhHDBBDvRS2MykRv0oSECR3SfcaMREo0FLX7F4IxNc0OL9hLsaIQKfZ19VczZM_CRbdZVK4tAfy7s8hIqn0c88SxwWcoBJUrTv-SSDk9N9Oaj46B_FoNlxPnaIVqwlqaqG2Lw==&uniplatform=NZKPT&language=CHS')",邵哲怡;李建桥,眼科学报,2022-02-28,期刊,6.0,554,下载  HTML阅读
24,"('中医药治疗糖尿病视网膜病变的新进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SQ5SfYGX5c_593JXjhaVJWfQWA8KyXk2ExokiOWDvwuXGLu1TizqV8t9U6u-8Vj6AEMoudThZ1UvW8BkEsoiuyLZT1qF78C09fHgZrlFK-npeO3ofLQpAoGpfeyGiqZou3Bpfeg9VwFw==&uniplatform=NZKPT&language=CHS')",孙开放;赵博军,中国中医药现代远程教育,2022-01-17,期刊,3.0,1272,下载  HTML阅读
25,"('长链非编码RNA在糖尿病视网膜病变中的研究新进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SQ5SfYGX5c_593JXjhaVJWfQWA8KyXk2EGV9w6PQivlw84xlZl5xP9zllutj1imcCL55a-mzXqe-JzCgMJvfoslwNh_OXjzs9hPWZwbp_lVLfP0-ynbcF92O_7H1X9fVDJZQ7GugK1EQ==&uniplatform=NZKPT&language=CHS')",曾兰;谭薇,重庆医学,2021-11-22 11:21,期刊,3.0,431,下载  HTML阅读
26,"('糖尿病视网膜病变发病机制及治疗的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RhhqPfktl4eHMafAZ1o6dOBjxOUEKzGna_qqxdWWdj_iKuk-xt0QTqV1dSaahDD8mRYBFZSPYHV-JtfbBnj9mXdm1-JXGNdjiIMuitt_U-pPwlSStwkKCX_JYBwRpa_REcvStndfmlmw==&uniplatform=NZKPT&language=CHS')",邸莎;王天铬;逄冰;李敏,医学综述,2021-10-28 11:38,期刊,69.0,4646,下载  HTML阅读
27,"('中医药治疗糖尿病视网膜病变进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SxlzM35nmHyMg_1lRXT4fGK7yZcL6msf0ZTCOUIOoN-rlJW3fj41oqITo0jWTdqHSYfYFzD8GcgwxPzpBbcp--j9VedeAGe1bU_dgcunpyiwkkvmjbNmO_WZ6zXSMRbMVkGEHEeNevtQ==&uniplatform=NZKPT&language=CHS')",邸莎;王天铬;李敏,辽宁中医杂志,2021-10-25 17:16,期刊,18.0,1721,下载  HTML阅读
28,"('糖尿病视网膜病变动物模型研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SxlzM35nmHyMg_1lRXT4fGK7yZcL6msf2PlQF-r6KukT1-NTZAfJK5T03LUAixKFjeAkuxxOhkIadJKzXadPDFPtij2OAoCnXrqmXhpIblgipSuyixdvfEEhGaJhBF2yWPNvhjPBbmNQ==&uniplatform=NZKPT&language=CHS')",王娇娇;李苗;史平玲;张贝贝;魏圆梦;王艳歌;宋宗明,中国实验动物学报,2021-09-17 15:19,期刊,7.0,1974,下载  HTML阅读
29,"('糖尿病视网膜病变中西医结合研究现状  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QeGQcl6d8mIcIrMPp8QMTXWYFBqPEaUqTNsCiMTxs3wHTulUSlm6UyF7igUks-FttAQGqh658oh5wNytgmvqdhNX2V1CUQJf-ForSXqEPXDWZGePL8uoaNA53Gpf7EZPP6FzCdg_Q6Aw==&uniplatform=NZKPT&language=CHS')",彭清华,中国中西医结合杂志,2021-06-03 11:29,期刊,15.0,824,下载  HTML阅读
30,"('糖尿病视网膜病变中医研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4T3CmpPRn0wmQILDyCNjGfZ7a8KqyzKPqRCbmV1qor2jq4Sp9ajJK3ImyeX6vxlrEJ0n5ZGOdzvbkAR4VrK8XN-7kPxarSsIaULcQzwfaY3amllktD-IJZeXo3VCm21K-yasEVAb4Lpvw==&uniplatform=NZKPT&language=CHS')",郑雪晶;张花治,湖南中医杂志,2021-03-28,期刊,10.0,721,下载  HTML阅读
31,"('黄蜀葵花治疗糖尿病视网膜病变的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4T3CmpPRn0wmQILDyCNjGfZ7a8KqyzKPqT_DamGUHmyj4zM6IrUvNKfEmcWtkDCOgZDaT9JHp1p5XNyCLoKJH3hSGhBHSkq9mIXEODRVm44_-VQAaOdDCiHxbVkiOlbzfOgiOy99dRXRA==&uniplatform=NZKPT&language=CHS')",余旭;孙心怡;朱博钰;娄妍;赵越,现代中西医结合杂志,2021-02-20,期刊,,236,下载  HTML阅读
32,"('中医药基于氧化应激途径防治糖尿病视网膜病变的机制进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SL_LcVKGN2yTF6jNACXWEjuc4S_8WfXLiNj4kiZOB6HX9A6jEGBh55YgBsDfwhC6QekBJAJRnroYTK3XZiw7VFRdrt5oqeeYl-LZDNS2NCcCTbBtofcGWawp4M_oL9_beDEyMPzIhciA==&uniplatform=NZKPT&language=CHS')",苏梅贵;罗向霞,中国中医眼科杂志,2020-11-29,期刊,11.0,705,下载  HTML阅读
33,"('磷脂酰肌醇3-激酶/蛋白激酶B/哺乳动物雷帕霉素靶蛋白信号通路与糖尿病视网膜病变的关系研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SWTdnA1xC4UNLvPxpRyyq-igiBa-4TePeHw_Vicm0rVsZ3sEt-cSBU5PIReclaS-mlWh6f4LftRuNi_m85zCtpSGuFoGTu5_5iTizOtAtWRS8YWct8WM4fXVRJ7TWnYX7EeW2xpU1_jA==&uniplatform=NZKPT&language=CHS')",胡婷婷;罗向霞;张钰洁;王瑞,中医临床研究,2020-10-20,期刊,6.0,396,下载  HTML阅读
34,"('糖尿病视网膜病变神经血管损伤发病机制的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SWTdnA1xC4UNLvPxpRyyq-igiBa-4TePcCM1bt0wPYicm2jYYC2nCErSFQWagSiPcrU59lvvw2bSBQWngwQ4d2RjQ-6sCoBo4rAK4IvPF3ImmnhhUVaO5BsGGDfcdYZrFDpdffREYNxw==&uniplatform=NZKPT&language=CHS')",袁满;金玮;郝昕蕾;杨安怀,眼科新进展,2020-09-05,期刊,32.0,1204,下载  HTML阅读
35,"('糖尿病视网膜病变与血-视网膜屏障损伤机制研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QwehHJDCy-KAs-zWKMra3Sgw_hJ37LE-4mbrElWx1zWNRCKpGHkNaoCG18zgbsqqrYjxRwzGkfcCVWHGzVomJyBShZyM-de-eO7bZIw988srIe2_y_pneG0NjhANEtJNhYHf0yjpEDpA==&uniplatform=NZKPT&language=CHS')",张瀚文;石岩,中华中医药学刊,2020-08-17 12:52,期刊,40.0,1227,下载  HTML阅读
36,"('CC趋化因子在糖尿病视网膜病变中的作用研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QwehHJDCy-KAs-zWKMra3Sgw_hJ37LE-7T_L9WlCr0CBYLeLGhnItzfQjDrvK-idnw6Cgk2B2w8Q3Tov7BCFQcSelMoiMTkncDIx6ImQXSTibO-rPWOkq5ignjq1cqR50C9kXRR2eflg==&uniplatform=NZKPT&language=CHS')",吴蓉;陆晓和,现代医药卫生,2020-07-15,期刊,,233,下载  HTML阅读
37,"('糖尿病视网膜病变发病机制及潜在治疗研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RItj8-vFjg6wPWKJ5h21avqJT_fGtbrd4mY0ch8N1n6QKWYi9s9npD69x1b5kMcpG4-WiR6E7S3QFVkDTGDQmZupNGct4pxZ16dbfK1RBabjhC9bxKvbu_wKscC9UJVGTF5qou1p8QcA==&uniplatform=NZKPT&language=CHS')",张凤俊;李晶明;刘秋平,眼科新进展,2020-07-05,期刊,82.0,2969,下载  HTML阅读
38,"('糖尿病性视网膜病变的发病机制及治疗进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SpINvv08wlPFXday5mjHUIUosWS7GkTQCk4Xtem9yn25EM-JhWlLolseWGMWc6syyf8-aPm3Ad6zdx0ZYi4JytGwa7q-YrhNBZ0y4bB8JfOjyfDLFq_wXzPNjp7_WpY2zN8pxsTmMP-Q==&uniplatform=NZKPT&language=CHS')",姜宇欣,上海医药,2020-06-10,期刊,19.0,969,下载  HTML阅读
39,"('血清25羟基-维生素D联合周围神经传导速度与2型糖尿病患者视网膜病变进展相关性研究  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SpINvv08wlPFXday5mjHUIUosWS7GkTQBn1WR5-uDHFoMIz8M6xH8Wq2EOKycYjp0Bs0BQanzE7tyOVbSr-7rUTfXdGATartJuDi7ppge5NJRwzSfeX4fTucKD1o8S4Dn1v3Ye9Vu5fQ==&uniplatform=NZKPT&language=CHS')",黄莺;李红梅,宁夏医学杂志,2020-05-15,期刊,,97,下载  HTML阅读
40,"('糖尿病视网膜病变的中医药诊疗概况  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RzR-mdi2XuNI1co1vY80_zGxDadAphvcJWyiNUzfGAaC3l8dzg8D93h1bkLEweA15WK0I1xnsmwzsva6YIVYMYFP1yg-kPgOPKMKkQp58GZ2AZb4Und6aJDwWbrosKbpdNsJLl7LeLFA==&uniplatform=NZKPT&language=CHS')",吴佳佳;武忠,内蒙古中医药,2020-04-28,期刊,3.0,331,下载  HTML阅读
41,"('糖尿病性视网膜病变的治疗进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4TRgVmBHxymx9W3-x3DYpyoLlGgX60EM-1MGDg0lracN54apcFe9ZjYILDz7opGbvtynucq5c60zJlvwdS3XrFxzdTYoDKErZkg_LQa2Y70Z2vzunKhzO_CSqzK9ZJdaugsZUePW5vYLA==&uniplatform=NZKPT&language=CHS')",熊慧;鲁占军;王额尔敦;晓琴,内蒙古民族大学学报(自然科学版),2020-03-15,期刊,2.0,618,下载  HTML阅读
42,"('Th1、Th2和Th17型细胞因子水平与糖尿病视网膜病变的相关性研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4TRgVmBHxymx9W3-x3DYpyoLlGgX60EM-1-qUsZDMKKQPgJVvlrc0y7dgIavmGc_sDvfp3dUpxT0IFo5gNARU3seK2mS0KmPK_R3rBYxIA2VDiK8pIp_ov9wfroIfLv2lxPFxcGakw5QQ==&uniplatform=NZKPT&language=CHS')",沈雨;吴苗琴,眼科新进展,2020-02-05,期刊,9.0,473,下载  HTML阅读
43,"('活血化瘀法应用于糖尿病视网膜病变研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QqMlDM6CkCp3jk5xAk5FT8gZTvR593NLmT1_Njpfu6sUK4zssmuxn8XUbsceRZTgKa7zngBdGJRFzBroUWQzAMPnrVCvY38lM641XV0NlzyPQf2z__-VX1HYHToRAd5XRmaKz_kQDmkw==&uniplatform=NZKPT&language=CHS')",周晶;吴琪琪;杨宇峰;石岩,辽宁中医药大学学报,2019-12-04,期刊,21.0,744,下载  HTML阅读
44,"('扶阳学说治疗糖尿病视网膜病变研究概述  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RhApcH27CKYmryeTk6rMIcVD7DpaPY8ifCqOcOyszQlwvUBG0VSQwXvGAk4PuEyHVGZeYBwbzt0f7aB7wo74dB9IA8Zs9QtCHcH_2PYWohqbVLCfr_k9flddsmFvUU3QrwaIl-AXG5qg==&uniplatform=NZKPT&language=CHS')",胡婷婷;罗向霞;康莉;贾琼;邰银萍,新中医,2019-11-05,期刊,5.0,267,下载  HTML阅读
45,"('中医治疗非增殖期糖尿病视网膜病变研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RhApcH27CKYmryeTk6rMIcVD7DpaPY8ifO7Jv2XebJbODmVfXO9wbe0wd-L19gvoH0n5I66UZVjToBDkg1O8ZRZIEGDDYDaLVUvmZWhpQxHihBiufd2iQsKzVfbadGoPLtbFAnkttP0Q==&uniplatform=NZKPT&language=CHS')",马英琦;黄延芹;徐云生,河北中医,2019-07-29 07:00,期刊,21.0,764,下载  HTML阅读
46,"('二甲双胍改善糖尿病视网膜病变机制研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QrG3Nb4r0_y_QAUJbsr_eW-GR_Tz6z5EsnH0_WSoBc8OcwVQJUkfilAvDXneRQqM2vIUASZ5LRIr6Not2dkDyIx9PhO_XYq1rsuxoV541HyOLXqtsVyJssrbl5xq6e-XDNAQTbwboOCQ==&uniplatform=NZKPT&language=CHS')",苏萌;白惠玲;孔宝焕;李正红;刘勤,中国临床药理学杂志,2019-07-28,期刊,14.0,452,下载  HTML阅读
47,"('糖尿病视网膜病变流行病学及中医药研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4T3yd9QYevwHVSLnAKVkNvfe9wyYKNPzQFry73YMxhu1L7WQsNVNHOVzGjR09HKLVV38BWx6v7YFUFcL3l17JQ1hxPmlGPO1db3ZE5LvUH2AdDvm2ec941jjbYCWoEyk0Yxo06xEvfN4Q==&uniplatform=NZKPT&language=CHS')",赵晓玲;徐灿坤;杨清峰,世界最新医学信息文摘,2019-07-23,期刊,15.0,1110,下载  HTML阅读
48,"('糖尿病视网膜病变的中医临床治疗进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4T3yd9QYevwHVSLnAKVkNvfe9wyYKNPzQHHjShTs7EXzYc2VmIJTqPRLWdURzNtOA3U004BbnSPpBogvFuaYctUBr8TeLBVkkMpPBFXT52zfE_itKGToQxP-SH8RPD7-if5yOP98I1u5w==&uniplatform=NZKPT&language=CHS')",倪妙玲;金智生,中医研究,2019-07-10,期刊,19.0,1019,下载  HTML阅读
49,"('糖尿病肾病与糖尿病视网膜病变的相关性研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Q7bI8e_FSbxT5pQZbnYbuhChsoe09DqgCs8EUMMsnXdcRwAQo8DP8EKlVznegyDwWU4qs28ZZIBahy3W8WoN-sJKyKbAQxf5uAVyQumS4_g-HTy6ccooiMBHfcgsvCJvXsZ7a4pUKf5A==&uniplatform=NZKPT&language=CHS')",成海梅;张利;陈香美,中华肾病研究电子杂志,2019-04-28,期刊,61.0,950,下载  HTML阅读
50,"('糖尿病视网膜病变的诊断和治疗:2016-2018年最新研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RS-YLwqkGr-ttwyOJE8G224f7ziEv80HFEAVjVWC_XvUkHFKF1JiIIg7Jzn6Z81aZsE5GYAofnz6OrLUwW1RdwZVPF6ZrHOQdOsQR1-KBdI1BlyPXFKqXXy05vbXcOAEn4CoDTQpQDJA==&uniplatform=NZKPT&language=CHS')",张佳慧;陈晓隆,眼科新进展,2018-12-05 15:07,期刊,36.0,1386,下载  HTML阅读
