,题名,作者,来源,发表时间,数据库,被引,下载,操作
31,"('黄蜀葵花治疗糖尿病视网膜病变的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4T3CmpPRn0wmQILDyCNjGfZ7a8KqyzKPqT_DamGUHmyj4zM6IrUvNKfEmcWtkDCOgZDaT9JHp1p5XNyCLoKJH3hSGhBHSkq9mIXEODRVm44_-VQAaOdDCiHxbVkiOlbzfOgiOy99dRXRA==&uniplatform=NZKPT&language=CHS')",余旭;孙心怡;朱博钰;娄妍;赵越,现代中西医结合杂志,2021-02-20,期刊,,236,下载  HTML阅读
32,"('中医药基于氧化应激途径防治糖尿病视网膜病变的机制进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SL_LcVKGN2yTF6jNACXWEjuc4S_8WfXLiNj4kiZOB6HX9A6jEGBh55YgBsDfwhC6QekBJAJRnroYTK3XZiw7VFRdrt5oqeeYl-LZDNS2NCcCTbBtofcGWawp4M_oL9_beDEyMPzIhciA==&uniplatform=NZKPT&language=CHS')",苏梅贵;罗向霞,中国中医眼科杂志,2020-11-29,期刊,11.0,705,下载  HTML阅读
33,"('磷脂酰肌醇3-激酶/蛋白激酶B/哺乳动物雷帕霉素靶蛋白信号通路与糖尿病视网膜病变的关系研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SWTdnA1xC4UNLvPxpRyyq-igiBa-4TePeHw_Vicm0rVsZ3sEt-cSBU5PIReclaS-mlWh6f4LftRuNi_m85zCtpSGuFoGTu5_5iTizOtAtWRS8YWct8WM4fXVRJ7TWnYX7EeW2xpU1_jA==&uniplatform=NZKPT&language=CHS')",胡婷婷;罗向霞;张钰洁;王瑞,中医临床研究,2020-10-20,期刊,6.0,396,下载  HTML阅读
34,"('糖尿病视网膜病变神经血管损伤发病机制的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SWTdnA1xC4UNLvPxpRyyq-igiBa-4TePcCM1bt0wPYicm2jYYC2nCErSFQWagSiPcrU59lvvw2bSBQWngwQ4d2RjQ-6sCoBo4rAK4IvPF3ImmnhhUVaO5BsGGDfcdYZrFDpdffREYNxw==&uniplatform=NZKPT&language=CHS')",袁满;金玮;郝昕蕾;杨安怀,眼科新进展,2020-09-05,期刊,32.0,1204,下载  HTML阅读
35,"('糖尿病视网膜病变与血-视网膜屏障损伤机制研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QwehHJDCy-KAs-zWKMra3Sgw_hJ37LE-4mbrElWx1zWNRCKpGHkNaoCG18zgbsqqrYjxRwzGkfcCVWHGzVomJyBShZyM-de-eO7bZIw988srIe2_y_pneG0NjhANEtJNhYHf0yjpEDpA==&uniplatform=NZKPT&language=CHS')",张瀚文;石岩,中华中医药学刊,2020-08-17 12:52,期刊,40.0,1227,下载  HTML阅读
36,"('CC趋化因子在糖尿病视网膜病变中的作用研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QwehHJDCy-KAs-zWKMra3Sgw_hJ37LE-7T_L9WlCr0CBYLeLGhnItzfQjDrvK-idnw6Cgk2B2w8Q3Tov7BCFQcSelMoiMTkncDIx6ImQXSTibO-rPWOkq5ignjq1cqR50C9kXRR2eflg==&uniplatform=NZKPT&language=CHS')",吴蓉;陆晓和,现代医药卫生,2020-07-15,期刊,,233,下载  HTML阅读
37,"('糖尿病视网膜病变发病机制及潜在治疗研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RItj8-vFjg6wPWKJ5h21avqJT_fGtbrd4mY0ch8N1n6QKWYi9s9npD69x1b5kMcpG4-WiR6E7S3QFVkDTGDQmZupNGct4pxZ16dbfK1RBabjhC9bxKvbu_wKscC9UJVGTF5qou1p8QcA==&uniplatform=NZKPT&language=CHS')",张凤俊;李晶明;刘秋平,眼科新进展,2020-07-05,期刊,82.0,2969,下载  HTML阅读
38,"('糖尿病性视网膜病变的发病机制及治疗进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SpINvv08wlPFXday5mjHUIUosWS7GkTQCk4Xtem9yn25EM-JhWlLolseWGMWc6syyf8-aPm3Ad6zdx0ZYi4JytGwa7q-YrhNBZ0y4bB8JfOjyfDLFq_wXzPNjp7_WpY2zN8pxsTmMP-Q==&uniplatform=NZKPT&language=CHS')",姜宇欣,上海医药,2020-06-10,期刊,19.0,969,下载  HTML阅读
39,"('血清25羟基-维生素D联合周围神经传导速度与2型糖尿病患者视网膜病变进展相关性研究  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SpINvv08wlPFXday5mjHUIUosWS7GkTQBn1WR5-uDHFoMIz8M6xH8Wq2EOKycYjp0Bs0BQanzE7tyOVbSr-7rUTfXdGATartJuDi7ppge5NJRwzSfeX4fTucKD1o8S4Dn1v3Ye9Vu5fQ==&uniplatform=NZKPT&language=CHS')",黄莺;李红梅,宁夏医学杂志,2020-05-15,期刊,,97,下载  HTML阅读
40,"('糖尿病视网膜病变的中医药诊疗概况  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RzR-mdi2XuNI1co1vY80_zGxDadAphvcJWyiNUzfGAaC3l8dzg8D93h1bkLEweA15WK0I1xnsmwzsva6YIVYMYFP1yg-kPgOPKMKkQp58GZ2AZb4Und6aJDwWbrosKbpdNsJLl7LeLFA==&uniplatform=NZKPT&language=CHS')",吴佳佳;武忠,内蒙古中医药,2020-04-28,期刊,3.0,331,下载  HTML阅读
