,题名,作者,来源,发表时间,数据库,被引,下载,操作
11,"('中药治疗糖尿病视网膜病变的疗效及机制研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Q6Hu63LzXrZ4-S7Ebk88Zw5rcxO9jwe8gGOATt00v06-1aawKcqVMTNZtKyNUbUNIrvzLbDRYjIxWNWfhHdS9D-dqbF6ymZ36fiWmJbMHffQBoua1IJBtci7GrEU-lF0kV8y9V94mJiA==&uniplatform=NZKPT&language=CHS')",桑智慧;李慧红;周丽娟,中国药房,2023-06-28,期刊,,609,下载  HTML阅读
12,"('糖尿病视网膜病变炎症相关因子的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4S8QPAaCA778r7q7UyJUHhSLG07eiVmEQWNQJ41UCKXAp9oHFo5spq6Js2B7QtO0rCpRAPU5PeVnmEug1mspl91qyMvJ88ki-JxfbfmazbnU5ZZMXzWAw0LnZm-trM9npJxHrhgZBeX8w==&uniplatform=NZKPT&language=CHS')",高钰寒;董志军,承德医学院学报,2023-06-13,期刊,,319,下载  HTML阅读
13,"('血液透析对糖尿病视网膜病变影响的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4S8QPAaCA778r7q7UyJUHhSLG07eiVmEQWCd4qrimtjUdlQ671XwMCnU9KCU84hqgspT00f62aCyFGoBc3EAN1gBbzuSyZmWba5jkacWr1Jx0dAJK-8AYQRKWCMiXHlSYWZQVh14UNDLA==&uniplatform=NZKPT&language=CHS')",邓望月;胡大军;鲁碧玉;董佩,中国血液净化,2023-02-12,期刊,2.0,242,下载  HTML阅读
14,"('糖尿病视网膜病变发病机制研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Ri4jRJcFs3ki4J5-vSDh2Zf4SSACCr6hjTg1uyU3JCUeuMdmscCSNK_4ZUIerFqIcmFMtzYzoWaw9mnLL2nNZjl6ZGRhSK3Y2II34dQOs_kzIw6xlLqyOuxS8mjFHgnyMYyg-Xou0-fA==&uniplatform=NZKPT&language=CHS')",杜长虹;刘银萍,沈阳医学院学报,2023-01-15,期刊,10.0,1352,下载  HTML阅读
15,"('Toll样受体4信号通路在糖尿病视网膜病变中的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Q0IT13kiO7WjRmJ83TyDoh-VpE43uw5EDSV4CC488OPkbJJUyLSiPKnkZdqUTuwMQhZqQUC5QoLydAp-wNwlHHzaV4yaCTHH0R5EgTvyQEa7XuBCaZlIth0V5SvAi6tfq8qScgAQd5Yw==&uniplatform=NZKPT&language=CHS')",李晓洁;许泽鹏;黄玉婷;郑香悦;俞晓艺,中国中医眼科杂志,2023-01-15,期刊,4.0,481,下载  HTML阅读
16,"('中医药治疗糖尿病视网膜病变的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Q0IT13kiO7WjRmJ83TyDoh-VpE43uw5EDyyYkRzAZli8pF-QGlNp97J9rtlhTtFhHTBg6feT14GzgoUXtZ3bKujfPzbAwlNMLWYQuLEnZPRSAXcC6y24jmeYQ9RWv3uq68jJq_ra9Rrw==&uniplatform=NZKPT&language=CHS')",刘梦伟;鲍新颖;王烁;王元松;王晓蕴;张忠勇,中医临床研究,2022-12-25,期刊,2.0,617,下载  HTML阅读
17,"('表观遗传修饰参与糖尿病视网膜病变代谢记忆的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4S_ljoooBMGcuyBFE4Lz_r5OZLq5lDVZMTfQwaenwTfN0mkzvOLew3A8eNhDSqXN0nHiozTeRxBQzlu9EP-pnvnKKhFi0z9_nUSteB7A3GQfkvg6rJGDg2FXpG3qrxssuC_SBnuEFpWcw==&uniplatform=NZKPT&language=CHS')",骞元婕;魏雁涛,国际眼科杂志,2022-10-08,期刊,3.0,569,下载  HTML阅读
18,"('糖尿病视网膜病变的流行病学、病因学与发病机制研究现状  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Thsoqwj5kvfGIh2QkVKDPkn_xwilUvAEZc1BWlBFied2ElT2xjzyjHJrxrHDmix-Wir8xJcI8R_TbOxF854Tel_fe7fq_BTait-R3VV5BIhlf_Ye7OdM5dD7EFqM7oAORrqD_-AGrP-Q==&uniplatform=NZKPT&language=CHS')",万文萃;龙洋,眼科新进展,2022-09-05,期刊,31.0,2779,下载  HTML阅读
19,"('组学技术在糖尿病视网膜病变中的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Thsoqwj5kvfGIh2QkVKDPkn_xwilUvAEbLeG465LlIEz6VojCsWtMRa23tCHZZxkLDrJUh045p21-SaA8MXiqcSsK8qVxkfCPaFm0JRvAzt6hHNhA0J2zWNhP_Vi2NckKMO5ndf4029A==&uniplatform=NZKPT&language=CHS')",周琦;熊鑫;吕红彬,国际眼科杂志,2022-08-08,期刊,1.0,711,下载  HTML阅读
20,"('白脂素在2型糖尿病及其并发心脏、肾脏、视网膜病变中的作用研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4TPVTtGQgwkN8sIGlX9blfl3AZ2A6IiENGQXEcb-TjMOW1TupGMOV1MIr9WZ7271w780-Zva8JZm_odM27HqorrXoAiR6lZXLOFbB7mMYqZ47SYFX2qiWbphmmwIgPnygEzWT6dDcRg9Q==&uniplatform=NZKPT&language=CHS')",甘甜;郭志新;陈晓红,新乡医学院学报,2022-08-05,期刊,3.0,258,下载  HTML阅读
